id	context	predictions	aggregatedPredictions	category
326	LEAD: In the novel ''Less Than Zero,'' passionless Los Angeles rich kids, spaced out on drugs and affluence, drift from Ferraris to glitzy clubs, from cocaine to bisexuality.	[[0.176,0.608,0.185,0.021,0.01]]	[0.176,0.608,0.185,0.021,0.01]	negative
327	The main character was a bisexual man with AIDS who knowingly continued his promiscuous ways with unsuspecting partners.	[[0.087,0.696,0.189,0.023,0.005]]	[0.087,0.696,0.189,0.023,0.005]	negative
328	The virus is firmly established among homosexual and bisexual men and intravenous drug abusers, and among their regular sexual partners.	[[0.054,0.251,0.321,0.309,0.065]]	[0.054,0.251,0.321,0.309,0.065]	neutral
329	Those Most at Risk He defined these groups of people as having an increased risk of infection with the virus that can cause acquired immune deficiency syndrome: * Homosexual and bisexual men.	[[0.264,0.549,0.134,0.034,0.019]]	[0.264,0.549,0.134,0.034,0.019]	negative
330	According to state and Federal health officials, a great number of Haitians have contracted acquired immune deficiency syndrome from people other than those who are considered at high risk: homosexual and bisexual men, intravenous drug abusers and hemophiliacs.	[[0.079,0.54,0.243,0.118,0.021]]	[0.079,0.54,0.243,0.118,0.021]	negative
331	Of the 17,000 cases diagnosed in the United States to date, more than 90 percent are from such groups: 73 percent have been homosexual or bisexual men, 17 percent intravenous drug users and 0.6 percent hemophiliacs who are dependent on blood clotting Factor VIII.	[[0.408,0.494,0.086,0.004,0.008]]	[0.408,0.494,0.086,0.004,0.008]	negative
332	LEAD: For the first time since the AIDS epidemic began, the number of new AIDS patients in New York City who are intravenous drug users has exceeded the number who are homosexual or bisexual men, the city's Health Commissioner said yesterday.	[[0.248,0.643,0.082,0.012,0.014]]	[0.248,0.643,0.082,0.012,0.014]	negative
333	Having done in his wife - and, it seems, seven of her own husbands as well - Fay offers herself as the next Mrs. McLeavy, only she has her eye on Dennis, who also happens to be the undertaker, a bank robber and the bisexual lover of McLeavy's son	[[0.099,0.536,0.301,0.049,0.015]]	[0.099,0.536,0.301,0.049,0.015]	negative
334	We still don't care whether Bruce (John Lithgow), a bisexual lawyer, and Prudence (Dianne Wiest), a writer for People magazine, ever get married or not.	[[0.227,0.639,0.112,0.013,0.009]]	[0.227,0.639,0.112,0.013,0.009]	negative
335	Therefore watching ''Triad's'' two men entwine may cause some viewers to suspect that this ballet is not about sibling rivalry at all; for these viewers, ''Triad'' may seem to concern homosexual or bisexual lovers whose affair is broken up by a woman.	[[0.195,0.571,0.199,0.02,0.016]]	[0.195,0.571,0.199,0.02,0.016]	negative
336	The national Centers for Disease Control has considered homosexual or bisexual men with multiple sexual partners to be at increased risk for AIDS, or acquired immune deficiency syndrome, which weakens the body's immune system, leaving the victim helpless to a variety of deadly infections.	[[0.278,0.573,0.121,0.015,0.013]]	[0.278,0.573,0.121,0.015,0.013]	negative
337	If the accumulating data confirm these observations while our experts emphasize the role of anal intercourse in the spread of AIDS among homosexual males in the United States, one must conclude that the data on the bisexual incidence of anal intercourse in Africa are incomplete or that other factors may be involved.	[[0.124,0.64,0.209,0.02,0.008]]	[0.124,0.64,0.209,0.02,0.008]	negative
338	"I'm bisexual," he explained.	[[0.029,0.18,0.292,0.452,0.047]]	[0.029,0.18,0.292,0.452,0.047]	positive
339	A Smile in His Lifetime'' by Joseph Hansen deals with a bisexual man who drifts away from his wife toward homosexuality.	[[0.129,0.558,0.199,0.083,0.032]]	[0.129,0.558,0.199,0.083,0.032]	negative
340	Sexual orientation is defined in the bill as heterosexuality, homosexuality or bisexuality.	[[0.274,0.595,0.098,0.016,0.017]]	[0.274,0.595,0.098,0.016,0.017]	negative
341	"Fourtune," the new musical at the Actors' Playhouse, is about a bisexual couple seducing a heterosexual couple ...	[[0.014,0.052,0.296,0.552,0.086]]	[0.014,0.052,0.296,0.552,0.086]	positive
342	To Bloomsbury followers, the story has the ring of an old family joke: the bisexual Dora Carrington worshiped the homosexual Lytton Strachey; he was enamored of the heterosexual Ralph Partridge, who conveniently enough loved Dora Carrington.	[[0.374,0.53,0.083,0.005,0.008]]	[0.374,0.53,0.083,0.005,0.008]	negative
343	The case of a bisexual man who gave AIDS to his wife, who in turn infected a next-door neighbor, provides additional evidence that the virus can be spread from women to men through vaginal intercourse, a new report concludes.	[[0.102,0.517,0.265,0.098,0.017]]	[0.102,0.517,0.265,0.098,0.017]	negative
344	The Supreme Court today refused to hear an appeal by a public high school guidance counselor who lost her job as a result of disclosing to her co-workers that she was bisexual.	[[0.14,0.511,0.167,0.128,0.055]]	[0.14,0.511,0.167,0.128,0.055]	negative
345	But the latest recommendation from the Food and Drug Administration, published by the Federal centers here, applies even to men ''who may have had only a single contact, and who do not consider themselves homosexual or bisexual.''	[[0.172,0.701,0.111,0.01,0.006]]	[0.172,0.701,0.111,0.01,0.006]	negative
346	LEAD: Every other Sunday or so they gather in a living room on the Upper East Side of Manhattan to reflect on their lives as wives of homosexual or bisexual men.	[[0.063,0.275,0.281,0.306,0.075]]	[0.063,0.275,0.281,0.306,0.075]	positive
347	Cardinal O'Connor, the Archbishop of New York, has assailed a bill pending in City Council that would forbid discrimination in housing and employment based on a person's ''sexual orientation,'' which the bill defines as ''heterosexuality, homosexuality or bisexuality.''	[[0.38,0.467,0.116,0.014,0.022]]	[0.38,0.467,0.116,0.014,0.022]	negative
348	The works are American urban and country western; British, Chinese-American and Americanized Japanese; monologues and multi-media; naturalistic, surrealistic and experimental, and they deal with, among other subjects, Catholic education, colonialism, fragmented and extended families, assimilation and bisexuality.	[[0.203,0.308,0.208,0.149,0.132]]	[0.203,0.308,0.208,0.149,0.132]	negative
349	His hero, Stephen - idiosyncratic, vaguely misanthropic, bisexual - becomes obsessed with Gilberte, a manipulative and ambitious young photographer.	[[0.143,0.626,0.177,0.039,0.015]]	[0.143,0.626,0.177,0.039,0.015]	negative
350	In 1983, according to the study, 71 percent of the cases in Haiti were from the groups that have suffered most in the United States: homosexual or bisexual men, intravenous drug users and recipients of transfusions and blood products.	[[0.146,0.641,0.179,0.026,0.009]]	[0.146,0.641,0.179,0.026,0.009]	negative
351	Not only does she examine a cornucopia of sexual permutations - from heterosexual adultery right up to bisexual incest -but she does so with a wild array of dramatic styles and tricks.	[[0.062,0.369,0.367,0.178,0.025]]	[0.062,0.369,0.367,0.178,0.025]	negative
352	MOST young boys who persistently act like girls grow up to be homosexuals or bisexuals, a 15-year study of ''sissy boys'' has shown.	[[0.11,0.666,0.197,0.02,0.007]]	[0.11,0.666,0.197,0.02,0.007]	negative
353	The theme of bisexuality is not as strange today as it was 25 years ago,'' said Charles Scribner Jr., chairman of Charles Scribner's Sons, which has published Hemingway since 1926.	[[0.205,0.572,0.202,0.013,0.009]]	[0.205,0.572,0.202,0.013,0.009]	negative
354	Opponents of the latest homosexual-rights bill argued at a City Council committee hearing last week that the legislation would force schools to teach children that homosexuality and bisexuality were acceptable alternatives to the norm.	[[0.169,0.656,0.147,0.017,0.011]]	[0.169,0.656,0.147,0.017,0.011]	negative
355	Contrary to the bill's statement that its function is not ''to promote a particular group or community,'' it would result in the Human Rights Commission's affirmative endeavors to promote the acceptability of homosexuality and bisexuality.	[[0.181,0.569,0.205,0.028,0.017]]	[0.181,0.569,0.205,0.028,0.017]	negative
356	United States Magistrate Robert Steinberg, sitting in Federal court by designation, issued a 13-page ruling yesterday after a jury awarded $40,447 to a former high school counselor; it decided that the reason she had been dismissed in 1975 was that she was bisexual.	[[0.407,0.539,0.046,0.002,0.006]]	[0.407,0.539,0.046,0.002,0.006]	negative
357	Those at risk include homosexual and bisexual males; intravenous drug users; those from foreign countries where AIDS is believed to be endemic; hemophilacs and those receiving transfusions from infected donors, and the sex partners or children of those who have AIDS.	[[0.236,0.628,0.118,0.012,0.006]]	[0.236,0.628,0.118,0.012,0.006]	negative
358	LEAD: Seven years ago a Miami office worker had an affair with a bisexual man.	[[0.043,0.269,0.474,0.182,0.033]]	[0.043,0.269,0.474,0.182,0.033]	neutral
359	In the book, packaged in a cover that one disapproving reviewer described as ''a naked lady draped in carnal red,'' a conniving bisexual priest who fathers an illegitimate child climbs the ecclesiastical ladder to become Cardinal of Chicago.	[[0.099,0.71,0.164,0.021,0.005]]	[0.099,0.71,0.164,0.021,0.005]	negative
360	I am 36 years old, divorced, and have never knowingly ''exchanged bodily fluids'' with a bisexual.	[[0.134,0.5,0.298,0.05,0.019]]	[0.134,0.5,0.298,0.05,0.019]	negative
361	LEAD: A study of gay and bisexual men in New York has found that reducing the number of sexual partners or becoming monogamous does not significantly decrease the risk of contracting the AIDS virus.	[[0.122,0.491,0.3,0.064,0.024]]	[0.122,0.491,0.3,0.064,0.024]	negative
362	Moreover, this immune-system breakdown, which has been implicated in a rare type of cancer, called Kaposi's sarcoma, and seems to invite in its wake a wide variety of serious infections and other disorders, has developed among some heterosexual women and bisexual and heterosexual men.	[[0.178,0.547,0.201,0.049,0.024]]	[0.178,0.547,0.201,0.049,0.024]	negative
363	The novel's bisexual theme is a stark departure from the masculine themes popularly associated with Hemingway. ''	[[0.007,0.048,0.693,0.239,0.014]]	[0.007,0.048,0.693,0.239,0.014]	neutral
364	The evidence was obtained from studies of 21 women, all of whom had multiple sexual partners or sexual relations with either bisexual men or intravenous drug users.	[[0.085,0.64,0.233,0.035,0.008]]	[0.085,0.64,0.233,0.035,0.008]	negative
365	Three-fourths of 44 extremely feminine boys followed from early childhood to adolescence or young adulthood matured as homosexuals or bisexuals, as against only one bisexual among a comparison group of more typically masculine boys.	[[0.269,0.595,0.108,0.014,0.014]]	[0.269,0.595,0.108,0.014,0.014]	negative
366	One possible explanation, researchers say, is that there may be an unknown factor in addition to the AIDS virus that puts homosexual men at risk for Kaposi's sarcoma, and that exposure to this co-factor is declining, perhaps as a result of safer sexual practices among homosexual and bisexual men.	[[0.223,0.581,0.158,0.028,0.01]]	[0.223,0.581,0.158,0.028,0.01]	negative
367	Male homosexuals and bisexuals, intravenous drug users and hemophiliacs constitute the so-called AIDS risk groups and account for nearly all the cases.	[[0.411,0.474,0.079,0.011,0.026]]	[0.411,0.474,0.079,0.011,0.026]	negative
368	Previous cases of AIDS being transmitted heterosexually involved female sexual partners of male intravenous drug abusers and bisexuals.	[[0.102,0.61,0.237,0.038,0.013]]	[0.102,0.61,0.237,0.038,0.013]	negative
